gene,IR1_S64_L001,IR1_S64_L002,IR2_S65_L001,IR2_S65_L002,IR3_S66_L001,IR3_S66_L002,IR4_S67_L001,IR4_S67_L002,IR5_S68_L001,IR5_S68_L002,IR6_S69_L001,IR6_S69_L002,IR7_S70_L001,IR7_S70_L002,IR8_S71_L001,IR8_S71_L002,IR9_S72_L001,IR9_S72_L002,RN1_S55_L001,RN1_S55_L002,RN2_S56_L001,RN2_S56_L002,RN3_S57_L001,RN3_S57_L002,RN4_S58_L001,RN4_S58_L002,RN5_S59_L001,RN5_S59_L002,RN6_S60_L001,RN6_S60_L002,RN7_S61_L001,RN7_S61_L002,RN8_S62_L001,RN8_S62_L002,RN9_S63_L001,RN9_S63_L002
LOC_Os01g17470.MSUR7,10,5,8,14,7,12,3,0,2,0,0,4,13,14,21,25,10,17,4,0,4,4,2,2,12,8,5,3,3,5,8,12,18,10,3,2
LOC_Os01g18050.MSUR7,276,291,221,264,318,322,88,75,97,83,91,84,933,1056,836,779,818,856,121,156,183,175,240,218,263,252,190,181,226,192,818,836,1214,1277,358,413
LOC_Os01g18240.MSUR7,13,11,11,13,19,18,3,8,0,0,0,0,24,21,25,40,19,11,4,8,4,0,14,7,14,5,10,5,13,5,35,46,40,41,10,16
LOC_Os01g19020.MSUR7,194,190,175,193,308,324,13,17,17,19,26,32,241,255,405,384,148,146,100,134,152,191,230,215,240,215,185,180,204,228,672,720,1206,1203,321,324
LOC_Os01g19330.MSUR7,15,13,4,15,14,7,2,9,5,5,2,2,9,22,47,37,16,5,17,14,11,19,16,22,2,4,4,2,5,5,2,8,2,3,6,4
LOC_Os01g19740.MSUR7,25,27,28,22,31,37,27,19,12,24,41,40,4,3,2,2,4,0,33,37,33,33,31,35,40,31,25,28,28,26,6,5,2,0,4,0
LOC_Os01g19800.MSUR7,0,15,23,19,24,27,0,0,0,8,6,9,38,53,61,51,30,37,17,19,26,23,11,16,17,20,13,19,0,17,54,70,77,69,44,25
LOC_Os01g19880.MSUR7,8,10,10,14,10,20,3,2,2,2,0,3,3,4,2,4,4,5,10,8,12,13,8,16,5,3,2,2,2,3,7,2,4,2,4,2
LOC_Os01g20160.MSUR7,12,13,24,15,15,22,23,25,20,40,26,17,126,109,59,86,113,117,17,17,7,14,8,14,11,9,14,15,12,15,115,117,91,82,137,133
LOC_Os01g20780.MSUR7,14,16,16,20,34,24,2,7,4,2,2,7,66,59,64,63,71,51,11,12,16,14,30,25,16,20,16,24,14,14,26,38,49,45,14,21
